ticket_id,title,description,resolution,status
T001,API response missing fields,The API response no longer contains the expected fields after the release. Reported via email.,Restored the removed fields in the response and released a hotfix for backward compatibility. Closed after customer confirmation.,resolved
T002,Rate limit errors on API,Integration is receiving 429 Too Many Requests during normal usage. Escalated from tier 1.,Raised the rate limit for the partner's key and advised exponential backoff on retries. Customer confirmed the issue is resolved.,resolved
T003,Account locked after failed attempts,User account is locked and the unlock email never arrives. Occurred on mobile app.,Unlocked the account manually and resent the unlock email after correcting the user's email address. Verified fix in production.,resolved
T004,Confirmation emails not delivered,Customers are not receiving order confirmation emails. Affects a single customer.,SPF and DKIM records were missing for the sending domain; added them and delivery recovered. Closed after customer confirmation.,resolved
T005,Refund failed at gateway,Refund request was rejected by the gateway with a failure status. Started after the latest release.,Gateway rejected the refund because the original transaction was past the refund window; issued a manual bank transfer instead. Closed after customer confirmation.,resolved
T006,API requests timing out,Partner integration requests time out after 30 seconds. Started after the latest release.,Added a missing database index behind the slow query; response times dropped below the timeout. Closed after customer confirmation.,resolved
T007,Emails landing in spam,Transactional emails are being delivered to the spam folder. Escalated from tier 1.,"Moved transactional emails to a dedicated sending domain with proper authentication, which improved inbox placement. Closed after customer confirmation.",resolved
T008,Refund stuck in initiated status,Refund has been in initiated status for several days. Occurred on mobile app.,Re-triggered the stuck refund through the gateway dashboard and confirmed the status changed to processed. Documented in the runbook.,resolved
T009,Two-factor code not accepted,The one-time code from the authenticator app is rejected as invalid. Reported via chat.,Device clock was out of sync so codes were rejected; synced the time and the code was accepted. Verified fix in production.,resolved
T010,Duplicate notification sent,Customer received the same alert three times. Started after the latest release.,Notification worker retried the job after a timeout; added a de-duplication key so each alert is sent once. Monitored for 48 hours with no recurrence.,resolved
T011,Webhook delivery failing,Our webhook endpoint calls fail with 502 from the gateway. Occurred on the web app.,Upstream service was restarting during deploys; enabled webhook retries so deliveries succeed after the restart. Monitored for 48 hours with no recurrence.,resolved
T012,Refund to wrong payment method,Refund was sent to a wallet instead of the original card. Raised by an enterprise account.,Refund routed to the original payment source after the wallet credit was reversed. Closed after customer confirmation.,resolved
T013,Refund shows processed but no money,The order shows refund processed but the amount is not in the customer's account. Seen by multiple customers this week.,Shared the bank reference number with the customer; the bank credited the amount after its settlement cycle. Monitored for 48 hours with no recurrence.,resolved
T014,SMS OTP not received,Users do not receive the SMS one-time password during signup. Affects a single customer.,SMS provider had throttled the sender ID; switched to the approved sender and OTPs were delivered. Documented in the runbook.,resolved
T015,Session expires immediately after login,User is logged out within seconds and redirected to the login page. Reported via email.,Session cookie was being rejected because of a domain mismatch; corrected the cookie domain setting. Verified fix in production.,resolved
T016,Push notifications not appearing,Mobile push notifications are not showing up for some users. Affects a single customer.,Device token had expired; the app re-registered the push token after an update. Closed after customer confirmation.,resolved
T017,Reset password link expired,Password reset email link shows expired even when opened right away. Escalated from tier 1.,Reset token lifetime was too short due to a config error; increased it and reissued the link. Verified fix in production.,resolved
T018,Refund not received,Customer cancelled the order two weeks ago and still has not received the refund. Affects a single customer.,"Refund had been submitted to the bank; provided the ARN so the customer could track it, funds arrived in 5-7 business days. Customer confirmed the issue is resolved.",resolved
T019,401 Unauthorized with valid API key,Client receives 401 responses even though the API key is valid. Seen by multiple customers this week.,API key was scoped to the sandbox environment; issued a production key and requests succeeded. Closed after customer confirmation.,resolved
T020,Cannot log in after password reset,User resets the password but login still says invalid credentials. Escalated from tier 1.,Cleared the user's stale sessions and tokens server-side; user logged in with the new password. Documented in the runbook.,resolved
